speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,file,s1,s2,s3,var_speaker,,,,sum_ina,0.30239521,0.100798403,,sum_a
S0654,683,362,262,0.530014641,S0655,665,410,303,0.616541353,S0653,1717,995,776,0.579499126,3065,1767,0.576508972,1341,SXPW.tsv,0.222838499,0.216965742,0.560195759,0.196490565,0,0,0,0,0,0,0,0
S0631,625,382,318,0.6112,S0632,707,424,355,0.599717115,S0635,454,208,170,0.45814978,1786,1014,0.56774916,843,SFC2.tsv,0.349944009,0.395856663,0.254199328,0.072274726,0,0,0,0,0,0,0,0
S0421,1052,746,563,0.709125475,S0423,1474,855,679,0.580054274,S0422,530,227,191,0.428301887,3056,1828,0.598167539,1433,SH8K.tsv,0.344240838,0.482329843,0.173429319,0.154738856,0,0,0,0,0,0,0,0
S0013,2961,2278,1662,0.769334684,S0012,6291,4432,3110,0.70449849,S0152,7464,4362,3120,0.584405145,16716,11072,0.662359416,7892,SF8D.tsv,0.177135678,0.376346016,0.446518306,0.139747337,0,0,0,0,0,0,0,0
S0417,897,525,448,0.585284281,S0416,693,347,291,0.500721501,S0418,14,3,2,0.214285714,1604,875,0.545511222,741,SH6W.tsv,0.559226933,0.432044888,0.00872818,0.28821901,0,0,1,1,0,0,0,0
S0086,2251,1535,1110,0.681919147,S0085,518,319,226,0.615830116,S0083,4632,2866,2153,0.618739206,7401,4720,0.637751655,3489,S6GC.tsv,0.304148088,0.069990542,0.62586137,0.279082297,0,1,0,1,0,0,0,0
S0653,2904,1709,1364,0.588498623,S0654,1252,897,660,0.716453674,S0655,1006,700,513,0.69582505,5162,3306,0.640449438,2537,SMF5.tsv,0.562572646,0.242541651,0.194885703,0.199951917,0,0,0,0,0,0,0,0
S0013,1238,867,635,0.700323102,S0012,3247,2225,1555,0.685247921,S0152,6530,4035,3028,0.617917305,11015,7127,0.647026782,5218,SVRQ.tsv,0.112392192,0.294779846,0.592827962,0.242527134,0,0,0,0,0,0,0,0
S0454,1673,1000,810,0.597728631,S0455,1567,994,785,0.634333121,S0452,270,168,136,0.622222222,3510,2162,0.615954416,1731,SZ2V.tsv,0.476638177,0.446438746,0.076923077,0.222570587,0,0,1,1,0,0,0,0
S0144,3103,2097,1553,0.675797615,S0281,4026,2569,1973,0.638102335,S0024,1150,803,582,0.69826087,8279,5469,0.660587027,4108,SU6F.tsv,0.37480372,0.486290615,0.138905665,0.177366628,0,0,0,0,0,0,0,0
S0612,3393,2043,1561,0.602122016,S0610,1541,1004,743,0.651524984,S0428,1630,1135,791,0.696319018,6564,4182,0.637111517,3095,SKKB.tsv,0.51691042,0.234765387,0.248324193,0.159126901,0,0,0,0,0,0,0,0
S0012,3281,2307,1693,0.703139287,S0008,4524,2995,2220,0.662024757,S0013,1471,986,782,0.670292318,9276,6288,0.677878396,4695,S2PY.tsv,0.353708495,0.48771022,0.158581285,0.165507777,0,0,0,0,0,0,0,0
S0013,1949,1444,1022,0.740892766,S0152,5600,3036,2201,0.542142857,S0012,3915,2779,1954,0.709833972,11464,7259,0.633199581,5177,SY4A.tsv,0.170010468,0.488485694,0.341503838,0.159394747,0,0,0,0,0,0,0,0
S0390,938,543,434,0.578891258,S0391,185,123,100,0.664864865,S0392,1061,589,496,0.555136664,2184,1255,0.5746337,1030,SBZW.tsv,0.429487179,0.08470696,0.485805861,0.217150302,0,1,0,1,0,0,0,0
S0245,480,301,241,0.627083333,S0246,1394,741,592,0.531563845,S0244,1048,529,412,0.504770992,2922,1571,0.537645448,1245,S2RD.tsv,0.164271047,0.4770705,0.358658453,0.157930034,0,0,0,0,0,0,0,0
S0454,2687,1567,1235,0.583178266,S0455,2450,1794,1374,0.732244898,S0452,855,561,429,0.656140351,5992,3922,0.654539386,3038,SEJK.tsv,0.448431242,0.408878505,0.142690254,0.166281967,0,0,0,0,0,0,0,0
S0653,2857,1909,1492,0.668183409,S0655,1141,654,481,0.57318142,S0654,1475,798,595,0.541016949,5473,3361,0.614105609,2568,SJA5.tsv,0.522017175,0.208477983,0.269504842,0.166229551,0,0,0,0,0,0,0,0
S0278,12909,7654,5754,0.592919668,S0012,4347,3444,2318,0.792270531,S0013,2602,2015,1370,0.774404304,19858,13113,0.660338403,9442,SHTW.tsv,0.650065465,0.21890422,0.131030315,0.277794687,0,0,0,0,0,0,0,0
S0230,2060,1410,1061,0.684466019,S0229,748,477,352,0.637700535,S0198,5158,3310,2641,0.641721598,7966,5197,0.65239769,4054,S4KW.tsv,0.258599046,0.093899071,0.647501883,0.284267354,0,1,0,1,0,0,0,0
S0653,1757,1113,924,0.633466135,S0655,625,378,299,0.6048,S0654,757,443,363,0.585204756,3139,1934,0.616119783,1586,S83A.tsv,0.559732399,0.199107996,0.241159605,0.197191499,0,0,0,0,0,0,0,0
S0521,949,430,312,0.453108535,S0520,5128,3143,2372,0.612909516,S0519,2000,1363,1000,0.6815,8077,4936,0.611117989,3684,SZP6.tsv,0.117494119,0.634889192,0.247616689,0.269137367,0,0,0,0,0,0,0,0
S0653,2239,1513,1190,0.675748102,S0654,1173,622,457,0.53026428,S0655,1237,698,531,0.564268391,4649,2833,0.609378361,2178,SADE.tsv,0.481608948,0.252312325,0.266078727,0.128594797,0,0,0,0,0,0,0,0
S0198,1878,813,655,0.432907348,S0230,484,308,235,0.636363636,S0229,838,588,462,0.701670644,3200,1709,0.5340625,1352,SKJ3.tsv,0.586875,0.15125,0.261875,0.226433225,0,0,0,0,0,0,0,0
S0266,151,100,86,0.662251656,S0269,798,494,404,0.619047619,S0314,2910,1258,1038,0.432302405,3859,1852,0.479917077,1528,SBBP.tsv,0.039129308,0.206789324,0.754081368,0.373897248,1,0,0,1,0,0,0,0
S0058,1005,483,408,0.480597015,S0179,530,309,260,0.583018868,S0057,266,157,135,0.590225564,1801,949,0.526929484,803,S2GS.tsv,0.55802332,0.294280955,0.147695725,0.207932682,0,0,0,0,0,0,0,0
S0439,5292,3580,2613,0.676492819,S0440,4337,2786,2006,0.642379525,S0481,4754,3372,2435,0.709297434,14383,9738,0.677049294,7054,SKRC.tsv,0.367934367,0.301536536,0.330529097,0.033287622,0,0,0,0,0,0,0,0
S0420,1844,1188,924,0.644251627,S0366,1550,901,682,0.581290323,S0365,1325,748,604,0.564528302,4719,2837,0.601186692,2210,S78H.tsv,0.390760754,0.328459419,0.280779826,0.05515222,0,0,0,0,0,0,0,0
S0391,1323,838,655,0.633408919,S0393,1326,765,604,0.576923077,S0392,914,506,413,0.553610503,3563,2109,0.591916924,1672,SKZX.tsv,0.371316306,0.372158294,0.2565254,0.066518954,0,0,0,0,0,0,0,0
S0454,1575,1088,830,0.690793651,S0455,1783,1033,798,0.579360628,S0579,1094,701,541,0.640767824,4452,2822,0.633872417,2169,SG7X.tsv,0.353773585,0.40049416,0.245732255,0.079379876,0,0,0,0,0,0,0,0
S0084,12739,8915,6060,0.699819452,S0041,13363,9814,6624,0.734415925,S0046,197,149,93,0.756345178,26299,18878,0.71782197,12777,S7SU.tsv,0.484391041,0.508118179,0.007490779,0.2824372,0,0,1,1,0,0,0,0
S0405,3555,2396,1741,0.673980309,S0555,3126,1978,1374,0.632757518,S0556,4218,2919,2036,0.692034139,10899,7293,0.669143958,5151,S2LD.tsv,0.326176713,0.286815304,0.387007982,0.050478274,0,0,0,0,0,0,0,0
S0654,716,398,305,0.555865922,S0653,1766,1001,789,0.566817667,S0655,696,468,337,0.672413793,3178,1867,0.5874764,1431,SUGV.tsv,0.22529893,0.555695406,0.219005664,0.19259691,0,0,0,0,0,0,0,0
S0624,253,130,111,0.513833992,S0567,409,211,176,0.515892421,S0623,774,418,355,0.54005168,1436,759,0.528551532,642,SUDM.tsv,0.176183844,0.284818942,0.538997214,0.186208539,0,0,0,0,0,0,0,0
S0229,236,131,104,0.555084746,S0198,1022,569,481,0.556751468,S0230,720,356,308,0.494444444,1978,1056,0.533872599,893,SJEM.tsv,0.119312437,0.516683519,0.364004044,0.200453146,0,0,0,0,0,0,0,0
S0013,493,303,242,0.614604462,S0152,8909,4434,3406,0.497698956,S0012,4872,3917,2725,0.803981938,14274,8654,0.606277147,6373,S6YA.tsv,0.034538321,0.624141796,0.341319882,0.294882863,1,0,0,1,0,0,0,0
S0653,3065,1835,1467,0.598694943,S0654,1488,987,743,0.663306452,S0655,678,436,335,0.643067847,5231,3258,0.622825464,2545,SZ94.tsv,0.585930032,0.284458039,0.129611929,0.232052039,0,0,0,0,0,0,0,0
S0521,1468,935,689,0.636920981,S0519,1692,1165,836,0.688534279,S0520,4344,2509,1905,0.577578269,7504,4609,0.614205757,3430,SZNA.tsv,0.195628998,0.225479744,0.578891258,0.213182522,0,0,0,0,0,0,0,0
S0417,652,362,300,0.555214724,S0418,61,40,37,0.655737705,S0416,834,479,422,0.574340528,1547,881,0.569489334,759,SVAT.tsv,0.421460892,0.039431157,0.539107951,0.261235669,0,1,0,1,0,0,0,0
S0259,676,478,362,0.707100592,S0260,909,542,433,0.596259626,S0255,1649,806,689,0.488781079,3234,1826,0.56462585,1484,SF2C.tsv,0.209029066,0.281076067,0.509894867,0.157092883,0,0,0,0,0,0,0,0
S0262,6039,3753,2951,0.621460507,S0305,2260,1452,1061,0.642477876,S0306,952,661,470,0.694327731,9251,5866,0.634093612,4482,S8CW.tsv,0.652794293,0.244297914,0.102907794,0.285550818,0,0,1,1,0,0,0,0
S0384,783,428,350,0.546615581,S0187,1311,720,593,0.549199085,S0188,557,320,243,0.574506284,2651,1468,0.553753301,1186,S4T3.tsv,0.295360241,0.494530366,0.210109393,0.145963315,0,0,0,0,0,0,0,0
S0058,1405,927,719,0.659786477,S0179,1466,836,666,0.570259209,S0056,980,614,456,0.626530612,3851,2377,0.617242275,1841,SCWW.tsv,0.364840301,0.380680343,0.254479356,0.068747284,0,0,0,0,0,0,0,0
S0008,6602,4202,3123,0.636473796,S0013,418,185,138,0.442583732,S0012,3141,2444,1722,0.778096148,10161,6831,0.672276351,4983,SXAZ.tsv,0.649739199,0.041137683,0.309123118,0.305022216,0,1,0,1,0,0,0,0
S0653,722,408,341,0.565096953,S0654,526,290,247,0.551330798,S0655,272,145,124,0.533088235,1520,843,0.554605263,712,S49H.tsv,0.475,0.346052632,0.178947368,0.148435594,0,0,0,0,0,0,0,0
S0198,3795,2277,1866,0.6,S0230,1394,918,712,0.658536585,S0229,1068,665,537,0.622659176,6257,3860,0.616909062,3115,SDJL.tsv,0.606520697,0.222790475,0.170688829,0.238017115,0,0,0,0,0,0,0,0
S0669,2374,1320,1095,0.556023589,S0670,1224,811,646,0.662581699,S0671,694,484,386,0.69740634,4292,2615,0.609273066,2127,S8W2.tsv,0.553122088,0.285181733,0.161696179,0.200106204,0,0,0,0,0,0,0,0
S0341,1807,1375,1010,0.760929718,S0337,3216,1829,1313,0.568718905,S0336,9138,6024,4464,0.659225213,14161,9228,0.651648895,6787,SG78.tsv,0.127603983,0.227102606,0.645293411,0.274707684,0,0,0,0,0,0,0,0
S0653,1191,661,558,0.554995802,S0655,654,356,259,0.544342508,S0654,407,292,236,0.717444717,2252,1309,0.581261101,1053,S2TC.tsv,0.528863233,0.290408526,0.180728242,0.177992689,0,0,0,0,0,0,0,0
S0227,9412,6634,4578,0.704844879,S0190,6914,5067,3231,0.732860862,S0192,14559,9859,6767,0.67717563,30885,21560,0.698073498,14576,SNJP.tsv,0.304743403,0.223862717,0.471393881,0.126217896,0,0,0,0,0,0,0,0
S0454,2492,1788,1323,0.717495987,S0452,1255,882,673,0.702788845,S0455,2360,1224,972,0.518644068,6107,3894,0.63762895,2968,SGCA.tsv,0.408056329,0.205501883,0.386441788,0.111231546,0,0,0,0,0,0,0,0
S0012,2176,1571,1133,0.721966912,S0278,5536,3275,2531,0.59158237,S0013,1320,882,642,0.668181818,9032,5728,0.634189548,4306,SG5Q.tsv,0.240921169,0.612931798,0.146147033,0.24673267,0,0,0,0,0,0,0,0
S0008,6586,4282,3053,0.650167021,S0012,4376,2965,2088,0.677559415,S0013,1369,984,713,0.718772827,12331,8231,0.667504663,5854,SUQM.tsv,0.534101046,0.35487795,0.111021004,0.212361269,0,0,1,1,0,0,0,0
S0255,7073,5517,3738,0.780008483,S0257,4947,2596,1817,0.524762482,S0258,4746,3289,2320,0.693004635,16766,11402,0.680066802,7875,SNG4.tsv,0.421865681,0.295061434,0.283072886,0.076905225,0,0,0,0,0,0,0,0
S0588,4372,2820,2154,0.645013724,S0613,2532,1535,1145,0.606240126,S0589,1813,1432,1027,0.789851076,8717,5787,0.663875186,4326,SRU7.tsv,0.501548698,0.290466904,0.207984398,0.151403922,0,0,0,0,0,0,0,0
S0041,2858,1776,1380,0.621413576,S0086,2595,1746,1291,0.67283237,S0046,542,257,205,0.474169742,5995,3779,0.630358632,2876,SBSJ.tsv,0.476730609,0.432860717,0.090408674,0.211519348,0,0,1,1,0,0,0,0
S0475,2385,1611,1148,0.675471698,S0476,2500,1725,1233,0.69,S0417,3528,2119,1638,0.600623583,8413,5455,0.648401284,4019,S9F9.tsv,0.283489837,0.297159158,0.419351004,0.074806366,0,0,0,0,0,0,0,0
S0152,3923,2075,1587,0.52893194,S0012,3166,2342,1661,0.739734681,S0013,725,464,361,0.64,7814,4881,0.624648068,3609,SYHW.tsv,0.502047607,0.405170207,0.092782186,0.213880688,0,0,1,1,0,0,0,0
S0018,4766,2843,2147,0.596516995,S0014,5025,3459,2543,0.688358209,S0004,1302,1065,733,0.81797235,11093,7367,0.664112503,5423,SKCY.tsv,0.429640314,0.452988371,0.117371315,0.187392577,0,0,0,0,0,0,0,0
S0588,4390,2867,2120,0.653075171,S0613,5501,3916,2916,0.711870569,S0589,148,123,85,0.831081081,10039,6906,0.687917123,5121,S7PM.tsv,0.437294551,0.547962945,0.014742504,0.281401778,0,0,1,1,0,0,0,0
S0623,4353,3177,2274,0.729841489,S0525,5946,3882,2885,0.652875883,S0622,1731,1119,819,0.64644714,12030,8178,0.679800499,5978,SR7C.tsv,0.361845387,0.494264339,0.143890274,0.176918623,0,0,0,0,0,0,0,0
S0058,3313,2156,1612,0.650769695,S0184,2465,1588,1170,0.644219067,S0179,2835,1585,1136,0.559082892,8613,5329,0.618715895,3918,SK8N.tsv,0.384651109,0.286195286,0.329153605,0.049360813,0,0,0,0,0,0,0,0
S0481,2650,1761,1265,0.664528302,S0439,4553,2914,2165,0.640017571,S0440,3610,2465,1771,0.682825485,10813,7140,0.660316286,5201,SJSC.tsv,0.245075372,0.421067234,0.333857394,0.087997101,0,0,0,0,0,0,0,0
S0167,4565,3104,2325,0.679956188,S0110,763,470,336,0.615989515,S0104,4960,3040,2312,0.612903226,10288,6614,0.642884914,4973,SAB7.tsv,0.44372084,0.074164075,0.482115086,0.225266638,0,1,0,1,0,0,0,0
S0517,12187,8573,6039,0.703454501,S0558,10597,7643,5317,0.721241861,S0572,95,82,55,0.863157895,22879,16298,0.712356309,11411,S8BQ.tsv,0.532671883,0.463175838,0.004152279,0.287189049,0,0,1,1,0,0,0,0
S0167,1935,1284,954,0.663565891,S0104,1860,1215,925,0.653225806,S0110,1085,622,473,0.573271889,4880,3121,0.63954918,2352,SQ2L.tsv,0.396516393,0.381147541,0.222336066,0.096433114,0,0,0,0,0,0,0,0
S0110,910,615,463,0.675824176,S0104,2462,1398,1071,0.567831032,S0167,1757,1046,796,0.595332954,5129,3059,0.596412556,2330,S6MQ.tsv,0.1774225,0.480015598,0.342561903,0.151507494,0,0,0,0,0,0,0,0
S0592,8202,5643,4036,0.688002926,S0593,4806,3123,2280,0.649812734,S0594,528,279,205,0.528409091,13536,9045,0.668218085,6521,S8CB.tsv,0.605939716,0.355053191,0.039007092,0.284089712,0,0,1,1,0,0,0,0
S0538,5456,3572,2665,0.654692082,S0546,4621,3352,2412,0.725384116,S0539,451,335,247,0.742793792,10528,7259,0.689494681,5324,SHGE.tsv,0.518237082,0.438924772,0.042838146,0.25468255,0,0,1,1,0,0,0,0
S0529,2655,1675,1234,0.630885122,S0530,2924,1837,1346,0.628248974,S0531,947,817,563,0.862724393,6526,4329,0.663346614,3143,SCWC.tsv,0.406834202,0.448053938,0.14511186,0.16430234,0,0,0,0,0,0,0,0
S0227,9720,7452,5168,0.766666667,S0190,3703,2269,1532,0.612746422,S0192,10770,6824,4953,0.633611885,24193,16545,0.683875501,11653,S3JF.tsv,0.401769107,0.153060803,0.445170091,0.157621541,0,0,0,0,0,0,0,0
S0567,1105,568,484,0.514027149,S0621,528,367,258,0.695075758,S0622,537,263,214,0.489757914,2170,1198,0.552073733,956,SJKD.tsv,0.50921659,0.243317972,0.247465438,0.152333484,0,0,0,0,0,0,0,0
S0104,5438,3318,2478,0.610150791,S0376,2652,1803,1340,0.679864253,S0377,2379,1759,1214,0.739386297,10469,6880,0.657178336,5032,SQPN.tsv,0.519438342,0.253319324,0.227242335,0.1616982,0,0,0,0,0,0,0,0
S0654,509,245,192,0.481335953,S0653,1201,644,503,0.536219817,S0655,420,294,220,0.7,2130,1183,0.555399061,915,S7RD.tsv,0.238967136,0.563849765,0.197183099,0.200723306,0,0,0,0,0,0,0,0
S0152,8052,4613,3439,0.572901143,S0013,2370,1744,1312,0.735864979,S0012,5934,4490,3153,0.756656555,16356,10847,0.663181707,7904,SP62.tsv,0.492296405,0.144900954,0.362802641,0.17556261,0,0,0,0,0,0,0,0
S0008,12296,7913,5534,0.643542615,S0012,6898,5226,3494,0.757610902,S0013,2732,2052,1498,0.751098097,21926,15191,0.69283043,10526,S2T6.tsv,0.560795403,0.314603667,0.12460093,0.218699576,0,0,0,0,0,0,0,0
S0653,3822,2330,1966,0.609628467,S0654,454,285,231,0.627753304,S0655,635,384,285,0.604724409,4911,2999,0.610669925,2482,SKY7.tsv,0.778252902,0.09244553,0.129301568,0.385752069,0,1,0,1,1,0,0,1
S0104,303,158,130,0.521452145,S0167,691,367,315,0.531114327,S0110,258,105,89,0.406976744,1252,630,0.503194888,534,SYFN.tsv,0.24201278,0.551916933,0.206070288,0.190150094,0,0,0,0,0,0,0,0
S0046,47,17,14,0.361702128,S0084,5520,3468,2689,0.62826087,S0041,4941,3239,2469,0.655535317,10508,6724,0.639893415,5172,SJG5.tsv,0.004472783,0.525314046,0.470213171,0.286131042,1,0,0,1,0,0,0,0
S0008,9580,5975,4269,0.623695198,S0012,7158,5422,3683,0.757474155,S0013,1439,948,669,0.658790827,18177,12345,0.679154976,8621,SZNG.tsv,0.527039666,0.393794356,0.079165979,0.229976871,0,0,1,1,0,0,0,0
S0326,4219,3088,2007,0.731926997,S0383,7372,4619,2988,0.626559957,S0328,7397,4589,2995,0.620386643,18988,12296,0.647566884,7990,SXCB.tsv,0.222192964,0.388245207,0.389561829,0.096252634,0,0,0,0,0,0,0,0
S0663,7579,5212,3590,0.687689669,S0662,6500,4404,2995,0.677538462,S0661,4055,2755,1901,0.679408138,18134,12371,0.682199184,8486,SXNE.tsv,0.417944193,0.358442704,0.223613102,0.09956909,0,0,0,0,0,0,0,0
S0282,9413,6391,4650,0.678954637,S0287,3777,2348,1690,0.6216574,S0288,2906,2147,1505,0.738816242,16096,10886,0.676317097,7845,SF3V.tsv,0.584803678,0.234654573,0.18054175,0.219453982,0,0,0,0,0,0,0,0
S0262,3654,2654,1910,0.726327313,S0301,1714,903,686,0.526837806,S0304,4089,2588,1919,0.632917584,9457,6145,0.649783229,4515,SA6K.tsv,0.386380459,0.181241408,0.432378133,0.133708308,0,0,0,0,0,0,0,0
S0486,5575,3164,2388,0.567533632,S0523,2285,1519,1070,0.664770241,S0489,2563,1921,1277,0.74951229,10423,6604,0.633598772,4735,SJSQ.tsv,0.534874796,0.21922671,0.245898494,0.175048756,0,0,0,0,0,0,0,0
S0422,512,282,215,0.55078125,S0423,2238,1442,1079,0.64432529,S0421,2550,1813,1313,0.710980392,5300,3537,0.667358491,2607,S3SA.tsv,0.096603774,0.422264151,0.481132075,0.207115961,1,0,0,1,0,0,0,0
S0572,1729,1250,906,0.722961249,S0571,1749,1187,828,0.678673528,S0517,3925,2085,1607,0.531210191,7403,4522,0.610833446,3341,ST6R.tsv,0.233553965,0.236255572,0.530190463,0.170488627,0,0,0,0,0,0,0,0
S0013,2367,1819,1321,0.768483312,S0008,11859,7284,5105,0.61421705,S0012,7547,5190,3474,0.687690473,21773,14293,0.656455243,9900,SDHB.tsv,0.108712626,0.544665411,0.346621963,0.218279977,1,0,0,1,0,0,0,0
S0631,2333,1396,1096,0.598371196,S0632,2181,1524,1112,0.698762036,S0635,656,360,285,0.548780488,5170,3280,0.6344294,2493,S3GS.tsv,0.451257253,0.421856867,0.12688588,0.179392054,0,0,0,0,0,0,0,0
S0262,2302,1398,1040,0.607298002,S0298,1994,1292,938,0.647943831,S0261,987,649,465,0.657548126,5283,3339,0.632027257,2443,SKMV.tsv,0.43573727,0.377437062,0.186825667,0.130184871,0,0,0,0,0,0,0,0
S0525,6546,4261,3254,0.650931867,S0617,2646,1991,1426,0.752456538,S0623,2011,1331,946,0.661859771,11203,7583,0.676872266,5626,SB32.tsv,0.584307775,0.236186736,0.17950549,0.219190143,0,0,0,0,0,0,0,0
S0278,7581,4247,3379,0.56021633,S0012,2338,1798,1277,0.769033362,S0013,1185,903,660,0.762025316,11104,6948,0.625720461,5316,S7RA.tsv,0.682726945,0.210554755,0.1067183,0.307005577,0,0,1,1,0,0,0,0
S0261,1065,687,534,0.645070423,S0280,927,487,396,0.525350593,S0262,679,363,294,0.53460972,2671,1537,0.57543991,1224,SKBN.tsv,0.398727069,0.347061026,0.254211906,0.07322906,0,0,0,0,0,0,0,0
S0653,1849,1214,948,0.65657112,S0655,774,526,384,0.679586563,S0654,957,463,342,0.483803553,3580,2203,0.615363128,1674,SBKH.tsv,0.516480447,0.216201117,0.267318436,0.160656136,0,0,0,0,0,0,0,0
S0439,2776,1672,1300,0.602305476,S0441,823,559,432,0.679222357,S0440,2812,1879,1448,0.668207681,6411,4110,0.641085634,3180,SRX4.tsv,0.433005771,0.128373109,0.43862112,0.177522966,0,0,0,0,0,0,0,0
S0041,10651,7073,5076,0.664069101,S0084,10851,7708,5491,0.710349277,S0046,87,47,37,0.540229885,21589,14828,0.686831257,10604,S7JG.tsv,0.493353096,0.502617074,0.00402983,0.285222813,0,0,1,1,0,0,0,0
S0475,882,226,193,0.256235828,S0418,20,6,6,0.3,S0417,782,573,490,0.732736573,1684,805,0.478028504,689,SKY2.tsv,0.523752969,0.011876485,0.464370546,0.279968654,0,1,0,1,0,0,0,0
S0278,5207,3117,2414,0.598617246,S0013,2292,1577,1136,0.688045375,S0012,1766,1284,900,0.727066818,9265,5978,0.645223961,4450,SKYQ.tsv,0.562007555,0.247382623,0.190609822,0.200061772,0,0,0,0,0,0,0,0
S0454,1403,831,694,0.59230221,S0455,604,357,281,0.591059603,S0452,686,437,343,0.637026239,2693,1625,0.603416264,1318,S9D7.tsv,0.520980319,0.224285184,0.254734497,0.163218668,0,0,0,0,0,0,0,0
S0588,3012,2099,1547,0.69687915,S0589,3491,2282,1712,0.653680894,S0613,2347,1410,1097,0.600766937,8850,5791,0.654350282,4356,SPTA.tsv,0.340338983,0.394463277,0.26519774,0.064916901,0,0,0,0,0,0,0,0
S0257,3067,1594,1225,0.519726117,S0258,1656,1157,850,0.698671498,S0255,3301,2478,1804,0.750681612,8024,5229,0.65166999,3879,S539.tsv,0.382228315,0.206380857,0.411390828,0.110906769,0,0,0,0,0,0,0,0
S0008,6248,4288,3071,0.686299616,S0012,3722,2457,1752,0.660128963,S0013,1463,1011,740,0.691045796,11433,7756,0.678387125,5563,SVUC.tsv,0.546488236,0.32554885,0.127962914,0.209371225,0,0,0,0,0,0,0,0
S0084,6660,4622,3189,0.693993994,S0046,3247,2293,1531,0.70619033,S0041,8984,5459,3894,0.607635797,18891,12374,0.655020909,8614,SMME.tsv,0.352548833,0.17188079,0.475570377,0.152753946,0,0,0,0,0,0,0,0
S0179,3431,2142,1595,0.624307782,S0097,3721,2623,1885,0.704918033,S0151,4072,2606,1890,0.639980354,11224,7371,0.656717748,5370,S66A.tsv,0.305684248,0.331521739,0.362794013,0.028597949,0,0,0,0,0,0,0,0
S0602,3758,2415,1678,0.642629058,S0594,3195,2006,1473,0.627856025,S0592,2240,1375,993,0.613839286,9193,5796,0.630479713,4144,SHJE.tsv,0.408789296,0.347547047,0.243663657,0.083475394,0,0,0,0,0,0,0,0
S0012,7245,5537,3705,0.764251208,S0013,2086,1566,1110,0.75071908,S0008,12160,7589,5397,0.624095395,21491,14692,0.68363501,10212,SF2Q.tsv,0.337117863,0.097063887,0.565818249,0.234400096,0,1,0,1,0,0,0,0
S0104,1704,1120,868,0.657276995,S0110,403,276,209,0.684863524,S0167,1845,1002,827,0.543089431,3952,2398,0.606781377,1904,S3SU.tsv,0.431174089,0.101973684,0.466852227,0.201155904,0,1,0,1,0,0,0,0
S0144,1140,770,593,0.675438596,S0013,915,574,438,0.627322404,S0024,2409,1399,1064,0.580738896,4464,2743,0.614471326,2095,S84P.tsv,0.255376344,0.204973118,0.539650538,0.180444487,0,0,0,0,0,0,0,0
S0013,391,329,245,0.841432225,S0152,10616,3631,2963,0.342030897,S0012,2426,1950,1338,0.803792251,13433,5910,0.439961289,4546,S6A5.tsv,0.029107422,0.790292563,0.180600015,0.402922207,1,0,0,1,0,1,0,1
S0653,3436,2219,1773,0.64580908,S0655,1180,640,468,0.542372881,S0654,1020,680,486,0.666666667,5636,3539,0.627927608,2727,SXC6.tsv,0.609652236,0.209368346,0.180979418,0.239719804,0,0,0,0,0,0,0,0
S0255,14154,9968,6865,0.704253215,S0257,17543,12542,8588,0.714929032,S0260,1494,1394,831,0.933065596,33191,23904,0.720195234,16284,S64H.tsv,0.426440903,0.528546895,0.045012202,0.254859205,0,0,1,1,0,0,0,0
S0417,1213,736,571,0.606760099,S0415,1483,849,684,0.5724882,S0416,868,568,454,0.65437788,3564,2153,0.604096521,1709,S6UQ.tsv,0.340347924,0.416105499,0.243546577,0.086493056,0,0,0,0,0,0,0,0
S0013,2057,1473,1131,0.716091395,S0152,7294,4062,2968,0.556896079,S0012,6691,4725,3296,0.70617247,16042,10260,0.639571126,7395,SD2R.tsv,0.128225907,0.454681461,0.417092632,0.17861977,0,0,0,0,0,0,0,0
S0013,1101,722,554,0.655767484,S0012,2437,1748,1236,0.717275339,S0278,6488,4062,3216,0.626078915,10026,6532,0.651506084,5006,SXWR.tsv,0.109814482,0.243068023,0.647117495,0.279793676,1,0,0,1,0,0,0,0
S0017,1426,773,589,0.542075736,S0018,2254,1432,1055,0.635314996,S0019,4956,3367,2496,0.679378531,8636,5572,0.645206114,4140,SJDM.tsv,0.165122742,0.261000463,0.573876795,0.213761554,0,0,0,0,0,0,0,0
S0653,1876,1130,918,0.602345416,S0654,1197,718,558,0.599832916,S0655,544,337,232,0.619485294,3617,2185,0.604091789,1708,SQPH.tsv,0.518661874,0.330937241,0.150400885,0.184142187,0,0,0,0,0,0,0,0
S0520,3595,2396,1741,0.666481224,S0519,2517,1550,1158,0.615812475,S0522,2107,1347,982,0.639297579,8219,5293,0.64399562,3881,S7JS.tsv,0.437401144,0.306241635,0.256357221,0.093513077,0,0,0,0,0,0,0,0
S0686,2288,1329,999,0.580856643,S0684,993,525,368,0.528700906,S0685,3208,2205,1571,0.68734414,6489,4059,0.625520111,2938,SP9Z.tsv,0.352596702,0.153028202,0.494375096,0.171486832,0,0,0,0,0,0,0,0
