speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,file,s1,s2,s3,var_speaker,,,,sum_ina,0.30239521,0.100798403,,sum_a
S0228,4654,2906,2238,0.62440911,S0192,4918,3383,2498,0.687881253,S0189,67,34,24,0.507462687,9639,6323,0.655980911,4760,SH2P.tsv,0.482830169,0.510218902,0.006950929,0.282986998,0,0,1,1,0,0,0,0
S0060,14807,10220,6766,0.690214088,S0171,6994,5069,3297,0.724764084,S0086,8893,6283,4175,0.706510739,30694,21572,0.702808366,14238,S8LS.tsv,0.482406985,0.227862123,0.289730892,0.132755984,0,0,0,0,0,0,0,0
S0086,5286,3586,2405,0.678395762,S0041,9508,6429,4518,0.676167438,S0046,4061,2782,1919,0.685052943,18855,12797,0.678705914,8842,S8X7.tsv,0.28035004,0.504269425,0.215380536,0.151557314,0,0,0,0,0,0,0,0
S0525,6836,4577,3388,0.669543593,S0617,3618,2542,1804,0.702598121,S0614,1625,1046,721,0.643692308,12079,8165,0.675966554,5913,S457.tsv,0.565940889,0.299528107,0.134531004,0.217682607,0,0,0,0,0,0,0,0
S0653,1572,906,737,0.576335878,S0654,1001,595,470,0.594405594,S0655,567,363,278,0.64021164,3140,1864,0.593630573,1485,SJ2E.tsv,0.500636943,0.318789809,0.180573248,0.16052672,0,0,0,0,0,0,0,0
S0530,4559,3022,2205,0.662864663,S0529,4277,3176,2236,0.742576572,S0531,686,362,269,0.527696793,9522,6560,0.688930897,4710,STNE.tsv,0.478785969,0.449170342,0.072043688,0.226767459,0,0,1,1,0,0,0,0
S0454,7493,5567,4075,0.742960096,S0579,5322,3506,2596,0.658774897,S0580,3494,2211,1605,0.632799084,16309,11284,0.691887915,8276,SPYH.tsv,0.459439573,0.326322889,0.214237538,0.12275125,0,0,0,0,0,0,0,0
S0653,1246,705,569,0.565810594,S0655,563,350,288,0.621669627,S0654,210,125,99,0.595238095,2019,1180,0.584447746,956,SP5V.tsv,0.617137197,0.278850916,0.104011887,0.260865188,0,0,1,1,0,0,0,0
S0571,700,439,354,0.627142857,S0517,943,581,438,0.61611877,S0570,1139,630,529,0.553116769,2782,1650,0.59309849,1321,SN33.tsv,0.251617541,0.338964774,0.409417685,0.079050656,0,0,0,0,0,0,0,0
S0327,9933,7069,4898,0.711668177,S0326,5506,3418,2392,0.620777334,S0445,6163,4610,3198,0.748012332,21602,15097,0.698870475,10488,S2ZU.tsv,0.459818535,0.254883807,0.285297658,0.11058992,0,0,0,0,0,0,0,0
S0519,1339,747,577,0.557879014,S0520,1969,1246,962,0.632808532,S0521,1129,807,643,0.714791851,4437,2800,0.631057021,2182,SN2R.tsv,0.301780482,0.443768312,0.254451206,0.098523746,0,0,0,0,0,0,0,0
S0485,5680,3081,2486,0.542429577,S0432,744,554,407,0.744623656,S0428,1387,918,701,0.66186013,7811,4553,0.582895916,3594,SP84.tsv,0.727179618,0.095250288,0.177570093,0.343555396,0,1,0,1,0,0,0,0
S0266,4229,2926,2045,0.691889336,S0270,5592,3763,2692,0.672925608,S0271,6616,4495,3214,0.679413543,16437,11184,0.680416134,7951,S7KK.tsv,0.257285393,0.340208067,0.40250654,0.072854251,0,0,0,0,0,0,0,0
S0653,5626,3749,2883,0.666370423,S0654,1557,1027,705,0.659601798,S0655,1115,735,518,0.659192825,8298,5511,0.664135936,4106,S527.tsv,0.677994698,0.187635575,0.134369728,0.299671328,0,0,0,0,0,0,0,0
S0403,1243,859,625,0.691069992,S0405,2826,1571,1158,0.555909413,S0402,2553,1453,1017,0.569134352,6622,3883,0.586378738,2800,SUH7.tsv,0.187707641,0.426759287,0.385533072,0.127789013,0,0,0,0,0,0,0,0
S0589,1630,1143,839,0.701226994,S0588,6007,3960,2924,0.659230897,S0590,6694,4000,2998,0.597550045,14331,9103,0.635196427,6761,SRL9.tsv,0.113739446,0.419161259,0.467099295,0.19167843,0,0,0,0,0,0,0,0
S0653,3691,2344,1780,0.63505825,S0655,1100,787,536,0.715454545,S0654,1731,1145,831,0.66146736,6522,4276,0.655627108,3147,SNPP.tsv,0.565930696,0.16865992,0.265409384,0.207162411,0,0,0,0,0,0,0,0
S0521,1322,918,660,0.694402421,S0519,2247,1065,809,0.473965287,S0520,1989,1186,884,0.596279537,5558,3169,0.570169126,2353,S4CU.tsv,0.237855344,0.404282116,0.35786254,0.085882065,0,0,0,0,0,0,0,0
S0232,1713,991,844,0.578517221,S0198,1158,734,614,0.633851468,S0230,246,172,125,0.699186992,3117,1897,0.608598011,1583,SXUQ.tsv,0.549566891,0.371511068,0.07892204,0.237633749,0,0,1,1,0,0,0,0
S0266,1002,664,506,0.662674651,S0310,4626,2439,1967,0.527237354,S0267,620,461,341,0.743548387,6248,3564,0.570422535,2814,SVLK.tsv,0.160371319,0.740396927,0.099231754,0.353850376,0,0,1,1,0,0,0,0
S0486,3287,2288,1646,0.696075449,S0489,2327,1483,1067,0.637301246,S0523,3302,2052,1391,0.621441551,8916,5823,0.653095559,4104,SV97.tsv,0.368663078,0.260991476,0.370345446,0.062655533,0,0,0,0,0,0,0,0
S0626,4495,3082,2178,0.685650723,S0624,4709,3053,2049,0.648332979,S0627,7317,5062,3288,0.691813585,16521,11197,0.677743478,7515,SC67.tsv,0.272077961,0.285031172,0.442890866,0.0951004,0,0,0,0,0,0,0,0
