Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
have,1,66,"[20, 26, 48, 54, 55, 66, 68, 73, 75, 102, 123, 126, 135, 136, 156, 159, 162, 173, 175, 187, 190, 214, 244, 250, 253, 276, 280, 281, 295, 303, 326, 346, 404, 417, 437, 438, 442, 458, 526, 531, 543, 548, 549, 584, 585, 591, 604, 618, 622, 638, 648, 653, 674, 678, 680, 684, 703, 707, 744, 748, 772, 777, 778, 805, 807, 848, 854, 857, 865, 866, 869, 875, 883, 885, 892, 896, 899, 902, 912, 941, 945, 958, 960, 963, 964, 975, 976, 978, 1020, 1052, 1058, 1067, 1072, 1086, 1098, 1099, 1122, 1126, 1151, 1153, 1158, 1164, 1183, 1189, 1204, 1228]",S4HW.tsv
we,1,66,"[2, 20, 45, 66, 104, 105, 106, 109, 194, 200, 219, 267, 269, 284, 290, 320, 321, 350, 352, 361, 385, 389, 392, 394, 568, 704, 743, 770, 804, 819, 988, 992, 1001, 1027, 1058, 1059, 1060, 1100, 1109, 1110, 1123, 1143, 1153, 1155, 1156, 1158, 1159, 1162, 1166]",S4HW.tsv
the,1,66,"[12, 21, 27, 42, 47, 52, 57, 66, 67, 71, 75, 81, 85, 89, 104, 106, 110, 119, 126, 127, 139, 156, 158, 159, 163, 166, 175, 180, 190, 197, 201, 216, 225, 240, 241, 262, 276, 306, 320, 326, 328, 331, 349, 354, 373, 378, 383, 403, 404, 415, 417, 432, 450, 480, 487, 505, 509, 514, 519, 521, 529, 541, 608, 611, 615, 616, 617, 620, 622, 624, 636, 640, 648, 651, 653, 661, 664, 674, 675, 678, 679, 680, 681, 682, 687, 689, 690, 691, 694, 696, 698, 701, 703, 705, 730, 742, 749, 754, 756, 758, 759, 760, 761, 768, 775, 777, 784, 786, 800, 810, 814, 821, 826, 827, 832, 861, 880, 885, 938, 941, 948, 954, 963, 972, 975, 976, 983, 987, 988, 990, 991, 992, 994, 995, 996, 997, 998, 1006, 1012, 1021, 1038, 1042, 1050, 1051, 1052, 1069, 1072, 1077, 1078, 1079, 1080, 1081, 1093, 1094, 1099, 1110, 1114, 1122, 1139, 1156, 1162, 1172, 1177, 1181, 1186, 1195, 1204, 1212, 1215, 1228, 1233, 1238, 1239]",S4HW.tsv
see,1,114,"[66, 114, 245, 276, 342, 377, 503, 747, 838, 850, 869, 933, 957, 1012, 1014, 1018, 1048, 1089]",S4HW.tsv
have you,2,123,"[66, 123, 173, 346, 584, 604, 618, 638, 1072]",S4HW.tsv
when,1,180,"[45, 66, 75, 85, 180, 194, 250, 253, 267, 330, 383, 389, 468, 486, 620, 680, 786, 892, 895, 945, 963, 1081, 1122, 1155, 1199]",S4HW.tsv
it,1,68,"[2, 3, 13, 14, 15, 24, 25, 26, 27, 41, 43, 44, 52, 68, 69, 72, 96, 102, 110, 111, 119, 127, 137, 139, 143, 150, 156, 160, 162, 200, 218, 221, 229, 232, 234, 238, 246, 247, 260, 261, 262, 270, 271, 275, 276, 284, 291, 293, 294, 295, 301, 304, 328, 331, 347, 370, 380, 381, 398, 430, 431, 434, 440, 446, 453, 454, 455, 467, 492, 506, 528, 556, 558, 566, 585, 587, 607, 609, 624, 632, 642, 651, 652, 653, 664, 673, 684, 686, 690, 691, 693, 694, 699, 703, 706, 712, 716, 717, 746, 753, 758, 759, 764, 772, 779, 782, 784, 786, 792, 794, 795, 812, 813, 814, 815, 817, 819, 820, 821, 822, 824, 835, 843, 846, 847, 848, 852, 857, 860, 861, 864, 869, 873, 874, 891, 906, 944, 946, 957, 961, 963, 973, 974, 985, 996, 998, 1014, 1025, 1041, 1042, 1048, 1053, 1055, 1071, 1073, 1074, 1075, 1083, 1084, 1114, 1116, 1117, 1123, 1142, 1166, 1169, 1172, 1175, 1192, 1201, 1202, 1205, 1208, 1210, 1222, 1225, 1228, 1233]",S4HW.tsv
and,1,68,"[22, 36, 41, 42, 45, 48, 54, 68, 71, 73, 81, 94, 95, 126, 127, 135, 160, 163, 166, 168, 169, 180, 192, 194, 197, 234, 246, 255, 269, 275, 291, 328, 330, 349, 362, 392, 396, 405, 452, 456, 461, 475, 484, 494, 508, 511, 513, 521, 532, 537, 543, 547, 566, 569, 571, 577, 585, 587, 622, 624, 632, 634, 636, 638, 651, 653, 661, 665, 673, 690, 694, 698, 701, 703, 705, 706, 730, 733, 754, 758, 760, 775, 781, 784, 786, 805, 860, 879, 891, 905, 919, 945, 948, 964, 965, 970, 975, 977, 978, 988, 992, 993, 994, 998, 1021, 1036, 1042, 1055, 1096, 1100, 1110, 1122, 1139, 1144, 1162, 1166, 1169, 1177, 1218, 1233, 1234, 1238, 1239]",S4HW.tsv
as,1,68,"[67, 68, 114, 164, 200, 246, 326, 416, 420, 492, 701, 756, 936, 941, 945, 957, 966, 967, 973, 974, 978, 1015, 1063, 1123, 1131, 1217, 1226]",S4HW.tsv
if,1,68,"[12, 43, 68, 105, 127, 154, 178, 192, 195, 197, 200, 229, 244, 328, 337, 371, 392, 448, 457, 458, 650, 706, 712, 747, 804, 805, 808, 810, 833, 948, 957, 970, 976, 1013, 1020, 1027, 1028, 1099, 1122, 1179]",S4HW.tsv
do,1,68,"[18, 21, 26, 43, 53, 68, 72, 78, 88, 103, 112, 137, 148, 166, 168, 180, 187, 193, 200, 201, 206, 207, 216, 218, 234, 247, 306, 308, 323, 326, 331, 340, 369, 370, 373, 385, 389, 401, 410, 428, 452, 476, 485, 492, 496, 504, 505, 522, 530, 537, 543, 544, 546, 568, 578, 637, 642, 644, 650, 656, 664, 685, 705, 714, 720, 763, 766, 772, 784, 786, 800, 807, 823, 828, 850, 869, 872, 883, 890, 892, 893, 897, 920, 935, 940, 941, 944, 945, 946, 948, 949, 951, 957, 958, 959, 960, 964, 965, 973, 974, 981, 995, 997, 999, 1019, 1026, 1031, 1040, 1069, 1096, 1121, 1154, 1155, 1156, 1162, 1166, 1169, 1185, 1200, 1201, 1202, 1204, 1214, 1222, 1225, 1228]",S4HW.tsv
have a,2,437,"[68, 437, 438, 526, 531, 543, 548, 549, 744, 748, 777, 778, 866, 902, 963, 978, 1098, 1164]",S4HW.tsv
really,1,100,"[68, 100, 194, 246, 253, 261, 275, 389, 467, 577, 587, 677, 686, 703, 722, 726, 756, 786, 788, 804, 808, 855, 864, 883, 885, 909, 917, 918, 926, 958, 984, 998, 1020, 1039, 1045, 1063, 1070, 1072, 1073, 1083, 1217, 1222]",S4HW.tsv
couldn't,1,276,"[68, 72, 276, 283, 285, 686, 843, 872, 945, 1018]",S4HW.tsv
do it,2,218,"[68, 72, 218, 234, 331, 492, 642, 869, 944, 946, 973, 974, 1166, 1169, 1222]",S4HW.tsv
you have,2,68,"[26, 68, 250, 805, 902, 945, 958, 978, 1072, 1098, 1189]",S4HW.tsv
yeah,1,70,"[25, 29, 30, 32, 46, 50, 63, 67, 69, 70, 73, 81, 95, 101, 102, 109, 112, 113, 120, 123, 125, 128, 131, 136, 140, 149, 153, 154, 165, 167, 170, 174, 179, 181, 190, 191, 198, 211, 219, 235, 249, 272, 366, 372, 411, 418, 427, 448, 481, 501, 540, 542, 543, 545, 562, 567, 585, 588, 606, 609, 610, 612, 621, 627, 630, 636, 642, 643, 647, 651, 655, 658, 659, 665, 668, 670, 672, 676, 679, 683, 687, 688, 690, 692, 694, 701, 709, 710, 711, 715, 724, 731, 732, 743, 745, 750, 770, 772, 782, 792, 793, 795, 805, 806, 809, 816, 817, 823, 828, 837, 839, 851, 857, 862, 866, 867, 900, 906, 914, 924, 928, 931, 935, 945, 948, 952, 961, 967, 968, 971, 976, 979, 986, 988, 992, 998, 1000, 1002, 1013, 1014, 1015, 1016, 1022, 1037, 1041, 1052, 1055, 1062, 1073, 1087, 1095, 1101, 1104, 1106, 1112, 1126, 1132, 1134, 1154, 1157, 1163, 1182, 1198, 1201, 1202, 1204, 1205, 1207, 1211, 1219, 1227, 1229, 1235, 1240]",S4HW.tsv
