Expression Lexicon Size without stopwords,file
1064,SHHG.tsv
545,SVCS.tsv
612,SQ2W.tsv
160,SCYD.tsv
290,S3RL.tsv
781,STZ3.tsv
462,S6BR.tsv
169,S4ZA.tsv
159,STVQ.tsv
1031,SCVK.tsv
141,SDS7.tsv
1119,SV8E.tsv
361,SX6V.tsv
659,SHSL.tsv
900,S3KY.tsv
778,S33B.tsv
1283,S3DA.tsv
585,S8U5.tsv
377,SYRT.tsv
347,SPZA.tsv
271,SRCA.tsv
375,SNQB.tsv
1053,SBG4.tsv
461,SGY6.tsv
726,SGYW.tsv
159,SRZT.tsv
180,SWD7.tsv
549,SRWD.tsv
697,S2YK.tsv
1054,SN22.tsv
50,SEV9.tsv
536,SLRY.tsv
455,S9G2.tsv
457,SWGX.tsv
143,SRN2.tsv
1379,S2AX.tsv
258,SRND.tsv
767,S2B5.tsv
549,SKNF.tsv
987,SLH6.tsv
234,SMBC.tsv
503,SVWU.tsv
383,SZBN.tsv
311,S8VZ.tsv
331,S45F.tsv
387,SZLE.tsv
716,SZ98.tsv
318,SVN6.tsv
161,S4ZT.tsv
234,SXAW.tsv
1158,SCXU.tsv
379,S3RN.tsv
305,SZT4.tsv
1916,SFG3.tsv
563,SQ2C.tsv
781,SH2A.tsv
835,SCUS.tsv
766,STW7.tsv
317,SC4J.tsv
165,SDEX.tsv
381,SFR2.tsv
155,S323.tsv
2179,S28F.tsv
244,S7SX.tsv
390,SBFR.tsv
1415,SU3C.tsv
1246,S5JX.tsv
250,SK7X.tsv
363,S52C.tsv
1985,SLDB.tsv
425,SUHT.tsv
594,S7HR.tsv
717,S5QR.tsv
277,S9F7.tsv
341,SP79.tsv
746,SNDW.tsv
1569,SGHZ.tsv
828,S7ZG.tsv
737,S7VD.tsv
367,SDLP.tsv
351,SJ6L.tsv
676,SHXX.tsv
289,SJN6.tsv
1157,S6SH.tsv
453,SZJ5.tsv
2852,S38V.tsv
605,SFM7.tsv
664,SQ6L.tsv
589,SJWU.tsv
743,S4PF.tsv
359,SXJW.tsv
682,SE3Y.tsv
145,SLMK.tsv
830,SB6S.tsv
60,SL9D.tsv
164,S7ZF.tsv
1412,SLBS.tsv
1126,S5B4.tsv
1858,SB9K.tsv
1403,SYX3.tsv
1580,SKPP.tsv
1454,SESD.tsv
907,S7NV.tsv
1574,SNNG.tsv
917,SKRZ.tsv
274,SYZX.tsv
562,SBCZ.tsv
822,S9YG.tsv
304,SRG8.tsv
1687,SYTD.tsv
1797,SMEB.tsv
219,S8S2.tsv
290,SASU.tsv
1235,SFYP.tsv
704,SQ82.tsv
157,SFLQ.tsv
2453,SV2V.tsv
232,SXKQ.tsv
295,SQ55.tsv
410,SQ68.tsv
694,SVET.tsv
245,SH9T.tsv
444,S8G6.tsv
684,SMPU.tsv
187,S622.tsv
157,STRH.tsv
527,SZKE.tsv
459,SCEL.tsv
405,S6QU.tsv
1083,S346.tsv
412,SQWW.tsv
2384,SEGU.tsv
294,SB49.tsv
1271,SRD5.tsv
451,SEFQ.tsv
512,SNWS.tsv
685,SYU7.tsv
370,S57J.tsv
103,SL46.tsv
1917,SK3B.tsv
468,S55B.tsv
1719,S9WZ.tsv
582,SNLY.tsv
441,SWBG.tsv
738,SY5K.tsv
164,SY7T.tsv
524,SBYQ.tsv
576,SN97.tsv
1344,SP3Q.tsv
452,SEJ7.tsv
345,SYXU.tsv
303,S59R.tsv
328,SBA6.tsv
932,SYUR.tsv
401,SD8N.tsv
546,SFXF.tsv
764,SXFD.tsv
987,SQ9R.tsv
634,SDY6.tsv
947,SAG4.tsv
2581,SZQX.tsv
462,SXJP.tsv
1235,S6JL.tsv
1057,SXK5.tsv
1565,SXK4.tsv
1117,SJV7.tsv
1656,SFLB.tsv
213,SXFR.tsv
1393,SDVN.tsv
1533,SVH7.tsv
1322,S38F.tsv
374,SD62.tsv
205,SFZ9.tsv
305,S36Z.tsv
119,SFT2.tsv
1933,SMGY.tsv
574,SLNV.tsv
4204,SU82.tsv
173,S97B.tsv
424,SUZS.tsv
391,SBX7.tsv
479,SPFN.tsv
360,SW55.tsv
987,SNXL.tsv
442,S2E2.tsv
595,SCKW.tsv
1590,S382.tsv
915,S8J6.tsv
500,SH79.tsv
1213,SVFH.tsv
371,S4PC.tsv
2787,S6HP.tsv
687,SVED.tsv
283,SZR7.tsv
960,SVDV.tsv
195,S6J8.tsv
765,SC3M.tsv
297,SJ5D.tsv
523,SD9H.tsv
205,S43S.tsv
767,SFUT.tsv
665,S432.tsv
1557,SB7R.tsv
415,S7LN.tsv
987,SKPB.tsv
1178,SNCG.tsv
2113,SNA4.tsv
1794,SBVQ.tsv
396,SNMA.tsv
315,SKPX.tsv
1077,S95D.tsv
370,S9VB.tsv
1120,SGSY.tsv
282,S7Z8.tsv
3547,SUNM.tsv
404,SWU3.tsv
180,SRF6.tsv
550,SHXF.tsv
760,SDMJ.tsv
384,SD8A.tsv
1312,STKV.tsv
340,STK7.tsv
625,SXQU.tsv
849,SJ88.tsv
685,SAHB.tsv
419,S63K.tsv
741,S4QK.tsv
574,S4S5.tsv
810,SZPS.tsv
355,SVFD.tsv
264,SQ63.tsv
600,S4RF.tsv
236,S3XC.tsv
353,SCQC.tsv
322,SZKX.tsv
274,SMHY.tsv
895,S3M4.tsv
283,SHT2.tsv
1207,SD92.tsv
234,S37F.tsv
568,S3AV.tsv
748,SMF3.tsv
219,SWYP.tsv
669,SE2C.tsv
1887,SRFV.tsv
760,SLMB.tsv
1411,SKJ6.tsv
207,SEDD.tsv
486,SU6W.tsv
1322,S56S.tsv
398,S9WP.tsv
1450,S97Z.tsv
828,S7MF.tsv
348,S7NJ.tsv
474,SRRS.tsv
208,S7AR.tsv
319,SN7D.tsv
766,SY4E.tsv
413,S9MK.tsv
1315,SPHJ.tsv
1085,SRRQ.tsv
763,S5YC.tsv
1259,SLTU.tsv
1922,S7NH.tsv
242,SG3P.tsv
542,S9VA.tsv
528,SWW8.tsv
1135,S2GC.tsv
217,SKJ4.tsv
260,S2K6.tsv
2220,SEGJ.tsv
997,S3AC.tsv
650,SDN3.tsv
735,S3MW.tsv
805,SDAJ.tsv
401,STRW.tsv
425,SF6K.tsv
348,SMRU.tsv
469,SMSF.tsv
514,SFCW.tsv
171,SJTE.tsv
330,SV3M.tsv
1843,SFNQ.tsv
487,SH63.tsv
413,SCQW.tsv
219,ST39.tsv
154,SXPD.tsv
1719,SJLT.tsv
788,SFYX.tsv
702,SMK7.tsv
663,SVPK.tsv
378,SRDJ.tsv
499,S2FQ.tsv
689,S94U.tsv
1243,SW98.tsv
569,SWLR.tsv
900,SWMV.tsv
1022,SLX6.tsv
797,SUUE.tsv
494,SN59.tsv
776,S9N4.tsv
201,SNCL.tsv
728,SNAS.tsv
266,SW4Z.tsv
97,S9CR.tsv
379,SBXK.tsv
1226,S954.tsv
153,SY8A.tsv
186,SWUT.tsv
347,SRKV.tsv
556,SK39.tsv
447,S9ZP.tsv
905,S9X9.tsv
221,S8Q6.tsv
612,S8SH.tsv
221,SJAW.tsv
245,SJLP.tsv
193,SHBY.tsv
250,SCQS.tsv
660,SJXU.tsv
241,S3UC.tsv
1481,S6J2.tsv
236,SJU2.tsv
597,S8GL.tsv
624,S8K9.tsv
1174,S63L.tsv
258,SDWT.tsv
892,S6R4.tsv
1176,SXSM.tsv
269,SKKU.tsv
441,SKJQ.tsv
720,S7WY.tsv
2241,SEKZ.tsv
208,S2FT.tsv
960,SL76.tsv
114,S5AA.tsv
2011,SNXG.tsv
265,SNCM.tsv
2316,SN4N.tsv
2661,SEPP.tsv
1095,SN7W.tsv
364,SUU4.tsv
1216,SY5E.tsv
440,SG2E.tsv
434,SY8B.tsv
324,S7MU.tsv
2808,SKDX.tsv
129,SRK4.tsv
152,SEKX.tsv
657,SRGA.tsv
629,SQWN.tsv
586,STGP.tsv
230,SDB6.tsv
1420,SD6X.tsv
1213,SCS9.tsv
603,SVKF.tsv
1380,SV28.tsv
235,S3TD.tsv
916,SV2N.tsv
713,SMSW.tsv
268,SAFZ.tsv
119,S3VM.tsv
775,SJTT.tsv
1260,SCQF.tsv
917,S4K7.tsv
365,STEY.tsv
354,SJ8J.tsv
431,SD68.tsv
342,S8RY.tsv
71,SCJL.tsv
1539,S35K.tsv
439,SYWF.tsv
476,SLLC.tsv
804,SKGU.tsv
3171,SPG4.tsv
181,SPHZ.tsv
473,SBUN.tsv
735,SPJR.tsv
1727,S2XV.tsv
420,SEVC.tsv
750,SPLU.tsv
510,S7K2.tsv
824,SYJK.tsv
1313,S9E6.tsv
591,S27D.tsv
148,S2A5.tsv
226,S29X.tsv
347,SECU.tsv
332,SXXN.tsv
368,SAT9.tsv
425,ST64.tsv
324,S4MF.tsv
486,S6AP.tsv
233,SA9U.tsv
672,SDQG.tsv
1343,SVNL.tsv
112,SACQ.tsv
598,SABT.tsv
279,SVBN.tsv
449,SZW4.tsv
125,SA9T.tsv
478,S66E.tsv
306,SVNZ.tsv
186,SC6N.tsv
700,SMM7.tsv
593,S8WS.tsv
496,SAUJ.tsv
1286,SVVK.tsv
585,STNX.tsv
1260,SKL5.tsv
1643,S9P6.tsv
1172,SR8N.tsv
407,S9DE.tsv
527,SWGB.tsv
1580,SBQ6.tsv
558,SG87.tsv
560,S7FU.tsv
249,SY2F.tsv
402,SYG9.tsv
636,S5RP.tsv
321,S9S8.tsv
931,S5DJ.tsv
406,SGV4.tsv
691,S7S7.tsv
348,SZBV.tsv
226,SZAZ.tsv
1337,ST67.tsv
277,SC7H.tsv
69,S6TR.tsv
275,SFET.tsv
639,STY2.tsv
851,SA69.tsv
1103,S4WJ.tsv
375,S4XR.tsv
313,S66F.tsv
279,SXAN.tsv
1065,SVXT.tsv
593,SFP5.tsv
294,S33N.tsv
1116,SVT6.tsv
1743,SM6B.tsv
317,SJDK.tsv
801,SDJ9.tsv
452,S5HH.tsv
293,SPTQ.tsv
914,SPVY.tsv
43,SYHA.tsv
155,S92V.tsv
261,SEZB.tsv
552,SP4L.tsv
268,SEUM.tsv
721,SYEF.tsv
342,SKYV.tsv
576,SGMM.tsv
1425,SKXA.tsv
1738,SGAN.tsv
1286,SG4R.tsv
409,SBJM.tsv
469,SPXV.tsv
1878,SECS.tsv
957,SRBZ.tsv
1147,SNRQ.tsv
1367,S7RW.tsv
475,S7S2.tsv
881,SFRX.tsv
1015,S32Y.tsv
967,S48K.tsv
414,SHSD.tsv
918,SVXP.tsv
930,SXWG.tsv
632,ST62.tsv
355,SZNP.tsv
145,SMY5.tsv
916,S6A7.tsv
673,SHDM.tsv
172,SXCU.tsv
540,S4W8.tsv
179,S4VJ.tsv
284,S3S6.tsv
1063,SQG4.tsv
1757,SVBH.tsv
1150,SHHX.tsv
612,S4MV.tsv
294,STAQ.tsv
1030,SZ7Y.tsv
685,SZBR.tsv
2386,SAVW.tsv
339,SDHU.tsv
923,SPYD.tsv
243,SNRP.tsv
1014,SLJ5.tsv
939,SPXW.tsv
700,SPY2.tsv
953,S2LC.tsv
479,SP67.tsv
1225,SGAX.tsv
1009,S9EP.tsv
239,SGBT.tsv
572,S7GW.tsv
454,SPMV.tsv
303,SPM5.tsv
291,SG97.tsv
2012,S9ER.tsv
1046,S2UT.tsv
193,S2TP.tsv
186,S2CY.tsv
996,SBEV.tsv
606,SUEL.tsv
253,SQS3.tsv
379,SQRA.tsv
487,SXBE.tsv
1122,S4YQ.tsv
1177,SVBJ.tsv
578,SF2F.tsv
1659,SZVB.tsv
539,SA4W.tsv
258,SHK7.tsv
643,SCYY.tsv
683,SZVC.tsv
1398,SDR9.tsv
1218,SXCW.tsv
752,SQHY.tsv
93,SFK9.tsv
364,SBDD.tsv
548,S7QY.tsv
2749,S2C9.tsv
457,SWRQ.tsv
1096,SEZ2.tsv
531,SP7F.tsv
272,S9HC.tsv
481,SRTU.tsv
