speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,file
S0266,4229,2859,2009,0.6760463466540554,S0270,5592,3752,2716,0.670958512160229,S0271,6616,2943,1896,0.44483071342200725,16437,9554,0.5812496197602969,6621,S7KK.tsv
S0653,5626,3641,2843,0.6471738357625311,S0654,1557,1017,704,0.653179190751445,S0655,1115,517,316,0.46367713004484307,8298,5175,0.6236442516268981,3863,S527.tsv
S0403,1243,806,591,0.6484312148028962,S0405,2826,1655,1213,0.5856334041047417,S0402,2553,1204,796,0.47160203681942814,6622,3665,0.5534581697372395,2600,SUH7.tsv
S0589,1630,1119,825,0.6865030674846626,S0588,6007,4105,3053,0.6833694023639088,S0590,6694,2196,1401,0.3280549746041231,14331,7420,0.5177587049054497,5279,SRL9.tsv
S0653,3691,2191,1664,0.5936060688160391,S0655,1100,723,491,0.6572727272727272,S0654,1731,828,542,0.4783362218370884,6522,3742,0.5737503833180007,2697,SNPP.tsv
S0521,1322,887,645,0.6709531013615734,S0519,2247,1225,933,0.5451713395638629,S0520,1989,926,624,0.46556058320764204,5558,3038,0.5465994962216625,2202,S4CU.tsv
S0232,1713,922,788,0.5382370110916521,S0198,1158,571,464,0.4930915371329879,S0230,246,155,108,0.6300813008130082,3117,1648,0.5287135065768367,1360,SXUQ.tsv
S0266,1002,645,495,0.6437125748502994,S0310,4626,2606,2177,0.5633376567228707,S0267,620,353,244,0.5693548387096774,6248,3604,0.5768245838668374,2916,SVLK.tsv
S0486,3287,2218,1617,0.6747794341344692,S0489,2327,1460,1060,0.6274172754619682,S0523,3302,1295,768,0.39218655360387644,8916,4973,0.5577613279497533,3445,SV97.tsv
S0626,4495,2968,2102,0.6602892102335929,S0624,4709,3125,2106,0.6636228498619664,S0627,7317,3574,2171,0.4884515511821785,16521,9667,0.585134071787422,6379,SC67.tsv
S0654,692,397,305,0.5736994219653179,S0655,789,471,351,0.596958174904943,S0653,2313,952,735,0.4115866839602248,3794,1820,0.4797047970479705,1391,SM8E.tsv
S0370,2319,1278,1003,0.5510996119016818,S0012,1330,832,590,0.6255639097744361,S0013,1086,491,341,0.4521178637200737,4735,2601,0.5493136219640972,1934,SZ8H.tsv
S0455,2784,1601,1323,0.5750718390804598,S0454,1943,1127,868,0.5800308800823469,S0452,179,91,70,0.5083798882681564,4906,2819,0.5746025275173258,2261,SM6Y.tsv
S0655,1017,595,465,0.5850540806293019,S0653,1819,1056,878,0.5805387575590985,S0654,801,450,318,0.5617977528089888,3637,2101,0.5776739070662634,1661,SZ6C.tsv
S0278,11448,6933,5362,0.6056079664570231,S0012,3082,2230,1586,0.7235561323815705,S0013,2370,1388,984,0.5856540084388185,16900,10551,0.6243195266272189,7932,SJ3S.tsv
S0610,5399,3326,2401,0.6160400074087794,S0428,4704,3064,2102,0.6513605442176871,S0612,6018,3220,1995,0.5350614822200066,16121,9610,0.5961168661993673,6498,SR8V.tsv
S0417,918,482,394,0.5250544662309368,S0416,812,232,171,0.2857142857142857,S0418,37,11,11,0.2972972972972973,1767,725,0.41029994340690434,576,SR87.tsv
S0152,2587,1662,1228,0.6424429841515269,S0012,2647,1744,1223,0.6588590857574613,S0013,1986,764,497,0.38469284994964753,7220,4170,0.5775623268698061,2948,S26N.tsv
S0653,1106,661,553,0.5976491862567812,S0654,1014,475,361,0.46844181459566075,S0655,396,209,127,0.5277777777777778,2516,1345,0.5345786963434023,1041,SEL5.tsv
S0246,3980,2252,1748,0.5658291457286432,S0245,1698,1089,803,0.6413427561837456,S0244,1934,875,588,0.45243019648397104,7612,4216,0.5538623226484498,3139,S2W4.tsv
S0083,2737,1766,1296,0.6452320058458166,S0084,5081,3142,2492,0.6183822082267271,S0086,667,331,209,0.4962518740629685,8485,5239,0.6174425456688274,3997,SE88.tsv
S0655,1653,874,737,0.5287356321839081,S0653,1085,562,436,0.5179723502304148,S0654,243,100,66,0.411522633744856,2981,1536,0.5152633344515263,1239,S24D.tsv
S0653,2771,1272,1074,0.45904005774088774,S0655,323,226,167,0.6996904024767802,S0654,956,436,300,0.4560669456066946,4050,1934,0.4775308641975309,1541,S46J.tsv
S0392,2116,1162,924,0.5491493383742911,S0391,2781,1867,1463,0.6713412441567781,S0397,1684,741,503,0.44002375296912116,6581,3770,0.5728612672846072,2890,SC8H.tsv
S0172,6032,3666,2761,0.6077586206896551,S0173,5305,3410,2512,0.6427898209236569,S0174,896,432,270,0.48214285714285715,12233,7508,0.6137496934521377,5543,SM8P.tsv
S0012,4303,2842,1990,0.6604694399256332,S0013,1314,897,657,0.682648401826484,S0008,7119,2851,1886,0.40047759516786063,12736,6590,0.5174309045226131,4533,STB7.tsv
S0653,1170,672,546,0.5743589743589743,S0654,476,295,237,0.6197478991596639,S0655,594,218,156,0.367003367003367,2240,1185,0.5290178571428571,939,SVZE.tsv
S0190,2322,1726,1258,0.7433247200689062,S0192,3265,1981,1472,0.6067381316998468,S0227,2721,1086,757,0.39911797133406834,8308,4793,0.5769138180067405,3487,ST7J.tsv
S0551,906,511,392,0.5640176600441501,S0548,1058,593,460,0.5604914933837429,S0549,1598,687,477,0.42991239048811014,3562,1791,0.5028074115665356,1329,SVLH.tsv
S0152,7732,5445,4004,0.704216244180031,S0013,2380,1496,1112,0.6285714285714286,S0012,4871,2226,1376,0.45699035105727775,14983,9167,0.6118267369685644,6492,S6AK.tsv
S0202,582,307,255,0.5274914089347079,S0208,386,166,126,0.43005181347150256,S0216,543,258,177,0.47513812154696133,1511,731,0.48378557246856385,558,S69G.tsv
