Expression Lexicon Size without stopwords,file
1860,SP62.tsv
2349,S2T6.tsv
392,SKY7.tsv
122,SYFN.tsv
1133,SJG5.tsv
2102,SZNG.tsv
2729,SXCB.tsv
2315,SXNE.tsv
1828,SF3V.tsv
1105,SA6K.tsv
1153,SJSQ.tsv
589,S3SA.tsv
894,ST6R.tsv
2363,SDHB.tsv
626,S3GS.tsv
603,SKMV.tsv
1342,SB32.tsv
1081,S7RA.tsv
335,SKBN.tsv
439,SBKH.tsv
705,SRX4.tsv
2544,S7JG.tsv
140,SKY2.tsv
1075,SKYQ.tsv
299,S9D7.tsv
1158,SPTA.tsv
983,S539.tsv
1333,SVUC.tsv
2537,SMME.tsv
1416,S66A.tsv
1185,SHJE.tsv
2404,SF2Q.tsv
441,S3SU.tsv
526,S84P.tsv
909,S6A5.tsv
645,SXC6.tsv
3805,S64H.tsv
451,S6UQ.tsv
1834,SD2R.tsv
1047,SXWR.tsv
1056,SJDM.tsv
413,SQPH.tsv
1067,S7JS.tsv
792,SP9Z.tsv
