speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,file
4,823,1038,7606,0.19821772639691715,161,306,151,205,SASC.tsv
4,1082,1205,9684,0.22448132780082988,271,259,244,308,SWZA.tsv
4,1562,1437,13319,0.2717466945024356,284,336,442,500,SKDA.tsv
4,361,571,3295,0.15805604203152365,135,94,123,9,SLBG.tsv
4,845,1009,7767,0.20936570862239842,284,183,169,209,SPHU.tsv
4,1386,1385,16446,0.25018050541516246,303,256,478,349,SUVS.tsv
4,528,650,3529,0.20307692307692307,159,133,162,74,SNCR.tsv
4,568,602,3855,0.23588039867109634,181,142,135,110,SNMN.tsv
4,244,471,2145,0.12951167728237792,102,101,40,1,SWVQ.tsv
4,699,1050,8116,0.16642857142857143,284,266,115,34,SJ7N.tsv
4,790,1010,7297,0.19554455445544555,243,230,199,118,SZJ3.tsv
4,976,1093,8328,0.2232387923147301,272,170,296,238,SVD4.tsv
4,1281,1338,12960,0.23934977578475336,412,301,208,360,SH4V.tsv
4,270,500,2376,0.135,93,92,77,8,SCG7.tsv
4,1363,1352,16323,0.25203402366863903,479,419,224,241,STH5.tsv
4,373,468,3039,0.19925213675213677,116,53,87,117,S7UX.tsv
4,2122,1920,21090,0.27630208333333334,562,387,591,582,S23A.tsv
4,1541,1496,14954,0.2575200534759358,337,486,298,420,S2EF.tsv
4,1734,1589,19290,0.27281308999370674,481,466,493,294,S784.tsv
4,629,1024,10527,0.153564453125,4,296,297,32,SES6.tsv
4,1992,1707,20889,0.29173989455184535,602,528,555,307,SBM6.tsv
4,1202,1329,12774,0.22610985703536493,347,275,336,244,S355.tsv
4,1053,1036,8827,0.2541023166023166,326,209,282,236,S3M9.tsv
4,1319,1385,10713,0.23808664259927798,336,392,259,332,S8JW.tsv
4,64,290,1029,0.05517241379310345,9,19,10,26,S3TZ.tsv
4,1824,1673,23386,0.27256425582785415,614,439,366,405,SA2J.tsv
4,1481,1621,17294,0.22840838988278842,381,316,320,464,S4QF.tsv
4,544,676,3724,0.20118343195266272,117,196,88,143,S3N4.tsv
4,1456,1501,15153,0.24250499666888742,267,278,464,447,S35U.tsv
4,709,973,5541,0.18216855087358685,207,173,198,131,S9ZL.tsv
4,3126,2621,34907,0.2981686379244563,752,745,904,725,SL9V.tsv
4,1143,1214,11027,0.23537891268533773,161,384,330,268,SW5B.tsv
4,6589,4827,114561,0.34125750984048064,1616,1934,1777,1262,SUVQ.tsv
4,1052,1043,9483,0.2521572387344199,317,364,107,264,SN98.tsv
4,1636,1366,21055,0.29941434846266474,406,248,497,485,SR3K.tsv
4,455,624,3745,0.18229166666666666,115,127,157,56,SHLT.tsv
4,1340,1352,12546,0.24778106508875739,360,345,332,303,S3U3.tsv
4,452,701,4280,0.16119828815977175,162,85,126,79,SH5J.tsv
4,906,937,6006,0.2417289220917823,245,244,207,210,STKW.tsv
4,1321,1209,11540,0.27315963606286187,371,316,324,310,SUTB.tsv
4,266,552,3133,0.12047101449275362,34,113,115,4,S9ZU.tsv
4,1750,1680,16751,0.2604166666666667,307,390,562,491,SWY3.tsv
4,1121,1633,14175,0.17161665646050214,255,416,94,356,SJNJ.tsv
4,741,851,6676,0.21768507638072856,235,182,221,103,S6EX.tsv
4,1018,1188,10068,0.21422558922558924,353,322,191,152,SHC8.tsv
4,2413,2172,31067,0.2777394106813996,623,744,550,496,S3LE.tsv
4,319,610,2767,0.1307377049180328,14,119,76,110,SBNU.tsv
4,535,612,4251,0.21854575163398693,137,142,106,150,S5TE.tsv
4,2465,2356,25548,0.26156621392190155,573,756,750,386,SG3Q.tsv
4,1333,1219,11862,0.27337981952420015,387,259,346,341,S5LP.tsv
4,1567,1614,16351,0.2427199504337051,348,444,342,433,SMK3.tsv
4,478,645,4319,0.18527131782945735,31,159,147,141,S6KV.tsv
4,598,774,5425,0.19315245478036175,189,212,188,9,SZRJ.tsv
4,423,604,3208,0.17508278145695363,96,121,82,124,SHL3.tsv
4,633,743,4787,0.2129878869448183,197,135,140,161,SCP7.tsv
4,881,1049,8548,0.20996186844613918,168,217,250,246,SDA8.tsv
4,844,1100,7246,0.1918181818181818,253,203,232,156,SC2T.tsv
4,898,961,7063,0.2336108220603538,266,229,223,180,S376.tsv
4,1103,1158,7676,0.23812607944732297,315,303,230,255,SYWR.tsv
4,965,1189,9050,0.20290159798149707,278,360,322,5,SNNJ.tsv
4,155,382,1575,0.10143979057591623,61,36,6,52,SLU4.tsv
