speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,file,av_er_ratio
3,693,857,6283,0.269544924,324,324,45,SQ93.tsv,0.62708897
3,567,554,3979,0.341155235,228,226,113,SZQ9.tsv,0.633324956
3,414,467,2298,0.295503212,133,113,168,SZFG.tsv,0.492167102
3,1004,939,7580,0.356407526,345,321,338,SASQ.tsv,0.650791557
3,999,1124,12051,0.296263345,363,236,400,SWTX.tsv,0.673406557
3,605,577,3361,0.349508954,227,188,190,SK3P.tsv,0.594168402
3,975,1000,8103,0.325,412,373,190,SGGE.tsv,0.653461681
3,632,590,3378,0.357062147,187,245,200,S74A.tsv,0.606060606
3,500,600,3368,0.277777778,178,199,123,SYA7.tsv,0.449228029
3,438,403,2176,0.362282878,128,160,150,SNZS.tsv,0.528492647
3,444,468,2118,0.316239316,145,142,157,S7WR.tsv,0.555712937
3,566,578,3195,0.326412918,206,138,222,S2JK.tsv,0.572769953
3,567,573,3285,0.329842932,181,232,154,SR3P.tsv,0.572298326
3,1809,1669,12867,0.361294188,564,629,616,S37K.tsv,0.65820419
3,1173,967,7681,0.40434333,388,383,402,SHXJ.tsv,0.65225882
3,866,1066,7096,0.270794246,322,242,302,SFXE.tsv,0.638951522
3,778,708,5483,0.366290019,234,286,258,SDTD.tsv,0.624658034
3,884,1092,14747,0.26984127,421,415,48,SCSF.tsv,0.721909541
3,1308,1216,13666,0.358552632,472,397,439,SVD6.tsv,0.695291266
3,958,1005,7120,0.31774461,360,373,225,SVD7.tsv,0.657207081
3,526,450,3448,0.38962963,210,152,164,SMH4.tsv,0.638921114
3,1989,1865,16840,0.355495979,558,741,690,SLNB.tsv,0.665894374
3,753,876,4935,0.28652968,245,284,224,SKDP.tsv,0.630217878
3,1194,1187,10836,0.335299073,435,422,337,SEJT.tsv,0.654946475
3,454,475,2364,0.318596491,173,154,127,SK3S.tsv,0.552453469
3,677,704,5232,0.320549242,252,178,247,S2PS.tsv,0.654434251
3,844,971,11132,0.289735668,373,375,96,S5U8.tsv,0.696226415
3,1674,1364,15439,0.409090909,576,554,544,S985.tsv,0.677530351
3,2497,2242,39417,0.371245911,926,774,797,S5XD.tsv,0.7099287
3,1756,1595,18736,0.366980146,678,586,492,SWWZ.tsv,0.699016674
3,989,1108,7563,0.297533093,203,373,413,SUAB.tsv,0.596456433
3,455,534,3480,0.284019975,216,209,30,SYWB.tsv,0.607132586
3,756,804,6058,0.313432836,297,267,192,SCG9.tsv,0.611587983
