speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,file,av_er_ratio
4,1692,1209,11540,0.349875931,469,410,414,399,SUTB.tsv,0.67208413
4,472,552,3133,0.213768116,67,194,199,12,S9ZU.tsv,0.613453492
4,2170,1680,16751,0.322916667,405,488,673,604,SWY3.tsv,0.675051027
4,1485,1633,14175,0.227342315,347,527,149,462,SJNJ.tsv,0.632115548
4,1093,851,6676,0.321092832,333,272,315,173,S6EX.tsv,0.645354945
4,1409,1188,10068,0.296506734,468,428,277,236,SHC8.tsv,0.673105646
4,2882,2172,31067,0.331721915,738,866,667,611,S3LE.tsv,0.69663898
4,533,610,2767,0.218442623,31,192,138,172,SBNU.tsv,0.598843513
4,840,612,4251,0.343137255,217,225,167,231,S5TE.tsv,0.622441778
4,2924,2356,25548,0.310271647,691,880,869,484,SG3Q.tsv,0.699639583
4,1738,1219,11862,0.356439705,497,343,452,446,S5LP.tsv,0.66287112
4,1999,1614,16351,0.309634449,452,558,443,546,SMK3.tsv,0.662100177
4,715,645,4319,0.277131783,43,236,224,212,S6KV.tsv,0.624913174
4,870,774,5425,0.281007752,273,301,277,19,SZRJ.tsv,0.625253456
4,679,604,3208,0.281043046,162,187,140,190,SHL3.tsv,0.582657517
4,937,743,4787,0.315275908,280,208,216,233,SCP7.tsv,0.628745024
4,1214,1049,8548,0.289323165,241,306,336,331,SDA8.tsv,0.61371081
4,1214,1100,7246,0.275909091,348,293,326,247,SC2T.tsv,0.639523612
4,1270,961,7063,0.330385016,359,327,315,269,S376.tsv,0.654815864
4,1473,1158,7676,0.318005181,413,393,318,349,SYWR.tsv,0.633650463
4,1250,1189,9050,0.262825904,363,457,418,12,SNNJ.tsv,0.640747705
4,311,382,1575,0.203534031,117,83,11,100,SLU4.tsv,0.524758842
4,1165,972,8807,0.299639918,203,402,415,145,SEPR.tsv,0.646041856
4,655,707,3878,0.231612447,248,206,12,189,SGSK.tsv,0.604435276
4,1482,1075,11283,0.344651163,439,441,446,156,SB5E.tsv,0.677213507
4,595,491,2615,0.302953157,195,112,138,150,SH64.tsv,0.574598317
4,810,655,4637,0.309160305,228,219,237,126,SX2V.tsv,0.640953413
4,1355,1313,12255,0.257996954,444,372,226,313,SCPC.tsv,0.668189979
4,1413,1218,11451,0.290024631,305,376,456,276,SXDQ.tsv,0.639985988
4,2276,1584,16411,0.359217172,611,512,649,504,S6JP.tsv,0.662567303
4,504,441,1936,0.285714286,156,109,141,98,SA2B.tsv,0.593491736
4,1651,1562,11267,0.264244558,493,509,429,220,SJM7.tsv,0.649524825
4,1606,1324,16024,0.303247734,430,450,237,489,SAQD.tsv,0.685514573
4,967,737,6522,0.328018996,309,262,272,124,S4D8.tsv,0.661453542
4,1324,1121,9545,0.295272079,311,420,423,170,S43M.tsv,0.662441069
4,1558,1151,9677,0.33840139,328,496,432,302,S2KP.tsv,0.64829939
4,660,618,3091,0.266990291,220,195,160,85,S9WB.tsv,0.590100291
