speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,file
3,868,1158,7628,0.24985607369027057,340,251,277,S2W4.tsv
3,657,1079,8485,0.20296570898980537,254,284,119,SE88.tsv
3,368,567,2981,0.21634332745443857,148,154,66,S24D.tsv
3,349,653,4050,0.17815211842776926,146,79,124,S46J.tsv
3,708,1007,6581,0.23435948361469713,237,246,225,SC8H.tsv
3,909,1315,12234,0.23041825095057034,387,369,153,SM8P.tsv
3,912,1220,12750,0.24918032786885247,367,175,370,STB7.tsv
3,271,433,2240,0.2086220169361047,107,83,81,SVZE.tsv
3,711,979,8309,0.24208375893769152,210,262,239,ST7J.tsv
3,340,570,3563,0.19883040935672514,108,110,122,SVLH.tsv
3,1125,1274,14984,0.2943485086342229,424,285,416,S6AK.tsv
3,198,368,1511,0.1793478260869565,74,54,70,S69G.tsv
3,770,1051,6746,0.24421186171899778,302,189,279,SAAB.tsv
3,1111,1440,12203,0.2571759259259259,405,389,317,SQ3P.tsv
3,169,442,2344,0.12745098039215685,78,81,10,SVN7.tsv
3,124,312,1106,0.13247863247863248,35,42,47,SMNV.tsv
3,1031,1459,11425,0.23554946310258168,289,371,371,S4L9.tsv
3,1022,1083,11265,0.31455832563865804,277,371,374,ST82.tsv
3,249,621,2778,0.13365539452495975,120,122,7,SCNN.tsv
3,708,1008,7064,0.23412698412698413,277,261,170,S24E.tsv
3,2333,2613,34841,0.2976144916443424,912,905,516,S7GJ.tsv
3,526,727,5022,0.24117377349839522,187,182,157,SUWQ.tsv
3,301,552,2651,0.1817632850241546,125,101,75,S78E.tsv
3,325,588,2693,0.18424036281179137,133,129,63,SKEG.tsv
3,809,1148,10971,0.23490127758420443,163,319,327,SU8C.tsv
3,475,749,4932,0.2113929684023142,94,191,190,SKJH.tsv
3,402,725,4686,0.18482758620689654,157,163,82,SHZP.tsv
3,457,743,4559,0.20502467474203678,200,201,56,STKH.tsv
3,849,1060,11243,0.2669811320754717,324,321,204,SD65.tsv
3,592,870,6095,0.2268199233716475,199,251,142,S6PD.tsv
3,338,610,3942,0.18469945355191256,116,136,86,STQF.tsv
3,691,885,6475,0.26026365348399244,184,234,273,SHC3.tsv
3,588,943,6317,0.20784729586426298,231,223,134,SJW4.tsv
3,827,1066,8365,0.258599124452783,319,215,293,S8K6.tsv
3,263,536,3477,0.16355721393034825,124,124,15,SQNA.tsv
3,279,427,2271,0.21779859484777517,89,99,91,SDAA.tsv
3,777,1053,8298,0.2459639126305793,306,282,189,SMKK.tsv
3,554,823,5891,0.2243823410287566,231,169,154,SHX8.tsv
3,763,1149,10742,0.22135190020307513,335,333,95,S8RU.tsv
3,1280,1641,19585,0.2600040625634776,374,490,416,S3C6.tsv
3,1847,2046,40291,0.30091234929944605,733,664,450,SJB4.tsv
3,816,1184,10187,0.22972972972972974,378,376,62,SQWC.tsv
3,623,870,7062,0.23869731800766283,267,279,77,S5MM.tsv
3,727,1034,8217,0.23436492585428756,300,302,125,SUNR.tsv
3,1245,1539,19840,0.2696556205328135,524,518,203,SW6K.tsv
3,839,1110,10026,0.25195195195195197,342,161,336,S9B9.tsv
3,456,624,4243,0.24358974358974358,167,130,159,SES2.tsv
3,359,532,2838,0.224937343358396,149,84,126,S5XL.tsv
3,109,271,733,0.13407134071340712,37,29,43,SNBD.tsv
3,608,939,7517,0.21583244586439473,273,276,59,S5B6.tsv
3,797,929,7886,0.28597057768209544,266,283,248,S555.tsv
3,882,1017,8111,0.2890855457227139,314,295,273,SRHV.tsv
3,727,989,8587,0.24502864846646444,258,268,201,S59W.tsv
3,684,859,5686,0.26542491268917345,287,208,189,S839.tsv
3,892,1437,15913,0.20691254929250755,185,371,336,SDXW.tsv
3,1229,1846,24533,0.22192127121704586,566,112,551,SVKH.tsv
3,449,628,4070,0.23832271762208068,172,128,149,SDAB.tsv
3,925,1240,13508,0.24865591397849462,170,387,368,SZJ7.tsv
3,844,1245,11059,0.22597054886211512,363,378,103,SXRR.tsv
3,488,759,4952,0.21431708388230128,147,194,147,SBCL.tsv
3,291,427,2227,0.22716627634660422,111,95,85,SUC7.tsv
3,422,619,3532,0.22724824986537426,155,107,160,S9CH.tsv
3,501,800,5142,0.20875,180,164,157,S75W.tsv
3,508,786,4549,0.2154368108566582,209,148,151,SP3F.tsv
3,727,1041,7361,0.23278898495036823,209,244,274,S2QU.tsv
3,176,393,1773,0.14927905004240882,50,56,70,S9UA.tsv
3,704,888,7471,0.26426426426426425,283,279,142,SQVW.tsv
3,221,376,1778,0.19592198581560283,53,91,77,S3A9.tsv
3,238,423,2114,0.1875492513790386,97,90,51,S3CP.tsv
3,739,1070,11360,0.23021806853582555,191,284,264,S38P.tsv
3,485,857,6283,0.18864255153636716,233,233,19,SQ93.tsv
3,356,554,3979,0.21419975932611313,150,145,61,SZQ9.tsv
