speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,speaker4,speaker4_token_number,speaker4_expression_token_number,speaker4_expression_number,speaker4_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,file
S0652,980,363,233,0.3704081632653061,S0655,766,340,221,0.44386422976501305,S0653,1393,515,320,0.3697056712132089,S0654,390,154,94,0.39487179487179486,3529,1372,0.3887786908472655,868,SNCR.tsv
S0517,1357,564,327,0.41562269712601324,S0572,961,362,233,0.37669094693028093,S0570,882,406,262,0.4603174603174603,S0571,655,260,169,0.3969465648854962,3855,1592,0.41297016861219193,991,SNMN.tsv
S0415,1042,258,175,0.2476007677543186,S0417,857,317,217,0.36989498249708286,S0416,223,90,58,0.40358744394618834,S0418,8,5,3,0.625,2130,670,0.3145539906103286,453,SWVQ.tsv
S0227,4911,1835,1211,0.3736509875789045,S0192,2549,1096,681,0.42997253825029425,S0189,495,258,154,0.5212121212121212,S0190,161,101,57,0.6273291925465838,8116,3290,0.40537210448496797,2103,SJ7N.tsv
S0308,2878,1451,951,0.5041695621959694,S0309,2249,730,468,0.3245887060915963,S0266,1406,603,379,0.42887624466571833,S0268,748,280,179,0.37433155080213903,7281,3064,0.4208213157533306,1977,SZJ3.tsv
S0689,2503,1269,781,0.5069916100679185,S0690,1103,475,283,0.43064369900271987,S0687,2768,1138,688,0.4111271676300578,S0688,1953,780,479,0.39938556067588327,8327,3662,0.4397742284135943,2231,SVD4.tsv
S0370,4298,2130,1282,0.4955793392275477,S0012,2564,1044,656,0.40717628705148207,S0013,1456,664,401,0.45604395604395603,S0278,4642,2650,1576,0.5708746230073244,12960,6488,0.5006172839506173,3915,SH4V.tsv
S0417,656,260,184,0.39634146341463417,S0416,1210,357,248,0.2950413223140496,S0415,465,156,95,0.33548387096774196,S0418,41,24,20,0.5853658536585366,2372,797,0.3360033726812816,547,SCG7.tsv
S0542,8351,4194,2547,0.5022153035564603,S0560,4742,2567,1564,0.5413327709827077,S0543,1699,1094,622,0.6439081812831077,S0544,1489,866,518,0.5815983881799865,16281,8721,0.5356550580431177,5251,STH5.tsv
S0144,956,403,277,0.4215481171548117,S0013,230,127,80,0.5521739130434783,S0012,677,332,212,0.49039881831610044,S0024,1176,466,303,0.39625850340136054,3039,1328,0.4369858506087529,872,S7UX.tsv
